일시,일조합(hr),일조율(%),일사합(MJ/m2)
2025-04-11,10.5,81.4,24.08
2025-04-12,0,0,3.64
2025-04-13,9.5,73.1,23.76
2025-04-14,9.2,70.8,25.14
2025-04-15,10.7,82.3,26.96
2025-04-16,10.2,78.5,23.87
2025-04-17,0,0,3.49
2025-04-18,4.6,35.1,18.04
2025-04-19,0.4,3.1,7.89
2025-04-20,0.9,6.8,7.67
2025-04-21,2.2,16.7,15.59
2025-04-22,1.7,12.9,7.99
2025-04-23,2.1,15.8,13.73
2025-04-24,9.3,69.9,25.79
2025-04-25,7.2,54.1,21.93
2025-04-26,11.7,87.3,28.36
2025-04-27,7,52.2,19.09
2025-04-28,8.1,60.4,23.81
2025-04-29,12.1,89.6,27.99
2025-04-30,12.2,90.4,27.56
2025-05-01,0.7,5.2,2.35
2025-05-02,12.4,91.9,28.78
2025-05-03,3.7,27.2,11.21
2025-05-04,12.5,91.9,29.61
2025-05-05,0.7,5.1,5.4
2025-05-06,2.8,20.4,9.39
2025-05-07,8,58.4,23.46
2025-05-08,8.2,59.9,23.34
2025-05-09,0,0,1.21
2025-05-10,7.1,51.4,19.46
2025-05-11,6.7,48.6,19.61
2025-05-12,12.6,91.3,28.31
2025-05-13,12.6,91.3,28.61
2025-05-14,5.8,41.7,15.72
2025-05-15,0,0,4.65
2025-05-16,0,0,1.6
2025-05-17,8.9,64,25.81
2025-05-18,4.8,34.3,20.08
2025-05-19,7.2,51.4,23.16
2025-05-20,0.9,6.4,9.47
2025-05-21,0,0,3.28
2025-05-22,6.3,45,21.51
2025-05-23,0,0,4.88
2025-05-24,0,0,5.24
2025-05-25,11.6,82.3,27.62
2025-05-26,10.9,77.3,26.25
2025-05-27,12.6,89.4,26.94
2025-05-28,6.6,46.8,20.6
2025-05-29,12.5,88,27.51
2025-05-30,12.4,87.3,26.94
2025-05-31,6.4,45.1,19.9
2025-06-01,11.4,80.3,28.23
2025-06-02,0,0,4.3
2025-06-03,10.2,71.8,28.24
2025-06-04,11.1,77.6,26.73
2025-06-05,11.8,82.5,29.93
2025-06-06,4.3,30.1,18.73
2025-06-07,0.5,3.5,8.2
2025-06-08,0,0,5.13
2025-06-09,2.4,16.8,13.19
2025-06-10,1.4,9.8,11.3
2025-06-11,5.2,36.4,19.71
2025-06-12,0,0,5.74
2025-06-13,0,0,6.28
2025-06-14,3.4,23.8,10.73
2025-06-15,0.3,2.1,7.37
2025-06-16,5.2,36.1,15.28
2025-06-17,6.4,44.4,19.37
2025-06-18,9.4,65.3,24.92
2025-06-19,0.2,1.4,8.78
2025-06-20,0,0,4.92
2025-06-21,0,0,2.53
2025-06-22,0.1,0.7,11.11
2025-06-23,4.5,31.3,19.11
2025-06-24,0,0,7.87
2025-06-25,12.2,84.7,28.54
2025-06-26,10.5,72.9,27.72
2025-06-27,5.8,40.6,22.28
2025-06-28,7.8,54.5,24.95
2025-06-29,12.4,86.7,29.56
2025-06-30,12.2,85.3,27.86
2025-07-01,10.6,74.1,27.41
2025-07-02,12.7,88.8,29.15
2025-07-03,12,83.9,28.83
2025-07-04,11.5,80.4,27.96
2025-07-05,10.2,71.3,28.55
2025-07-06,11.5,80.4,28.53
2025-07-07,12,83.9,28.6
2025-07-08,10.2,71.3,27.46
2025-07-09,2.8,19.7,14.29
2025-07-10,4.2,29.6,17.06
2025-07-11,0,0,5.42
2025-07-12,0,0,3.54
2025-07-13,0.3,2.1,7.58
2025-07-14,12.3,86.6,29.34
2025-07-15,9.4,66.2,23.29
2025-07-16,0,0,9.18
2025-07-17,0.1,0.7,9.64
2025-07-18,2.5,17.7,11.89
2025-07-19,1.6,11.3,12.92
2025-07-20,5.6,39.7,22.09
2025-07-21,10.3,73.6,27.5
2025-07-22,11.1,79.3,28.36
2025-07-23,12.5,89.3,28.57
2025-07-24,12.5,89.3,28.83
2025-07-25,12.5,89.3,28.68
2025-07-26,11.8,84.9,26.03
2025-07-27,5.7,41,20.91
2025-07-28,12.2,87.8,28.75
2025-07-29,11.4,82,27.03
2025-07-30,3.7,26.8,14.67
2025-07-31,10.3,74.6,26.69
2025-08-01,11.5,83.3,25.17
2025-08-02,12.6,91.3,28.12
2025-08-03,0,0,5.41
2025-08-04,0.2,1.5,8.17
2025-08-05,6.8,49.6,20.77
2025-08-06,0.7,5.1,8.93
2025-08-07,2.2,16.2,15.53
2025-08-08,1.2,8.8,11.22
2025-08-09,0,0,2.98
2025-08-10,0.1,0.7,6.09
2025-08-11,0,0,1.74
2025-08-12,1.6,11.9,11.76
2025-08-13,8.4,62.2,21.75
2025-08-14,11,82.1,25.48
2025-08-15,10.9,81.3,26.39
2025-08-16,11.2,83.6,26.74
2025-08-17,11.5,86.5,24.88
2025-08-18,10.8,81.2,24.6
2025-08-19,9.7,72.9,24.41
2025-08-20,11.2,84.8,26.33
2025-08-21,6.2,47,16.49
2025-08-22,11.4,86.4,26.2
2025-08-23,11.3,85.6,25.96
2025-08-24,9.2,70.2,24.52
2025-08-25,8.8,67.2,23.89
2025-08-26,9.1,69.5,22.54
2025-08-27,8.1,62.3,19.9
2025-08-28,10.3,79.2,25.5
2025-08-29,10.3,79.2,24.9
2025-08-30,10.1,78.3,22.9
2025-08-31,3,23.3,14.59
2025-09-01,7.8,60.5,21.47
2025-09-02,7.2,56.3,16.36
2025-09-03,10,78.1,24.14
2025-09-04,6.9,53.9,17.04
2025-09-05,10.4,81.9,24.37
2025-09-06,8.5,66.9,21.97
2025-09-07,8.2,64.6,21.44
2025-09-08,6.9,54.8,17.93
2025-09-09,2.3,18.3,10.28
2025-09-10,5.6,44.4,18.77
2025-09-11,9.9,79.2,22.18
2025-09-12,6.2,49.6,17.34
2025-09-13,1.4,11.2,9.59
2025-09-14,5.2,41.9,16.61
2025-09-15,10.2,82.3,22.14
2025-09-16,10.7,86.3,22.96
2025-09-17,9.3,75.6,21.01
2025-09-18,9.1,74,20.14
2025-09-19,3.9,31.7,13.6
2025-09-20,3.7,30.3,12.52
2025-09-21,9.3,76.2,19.14
2025-09-22,9.2,75.4,19.91
2025-09-23,8.1,66.9,18.26
2025-09-24,7.5,62,18.59
2025-09-25,4.5,37.2,12.8
2025-09-26,2.7,22.5,8.78
2025-09-27,0,0,4.06
2025-09-28,4.9,40.8,14.93
2025-09-29,7.8,65.5,18
2025-09-30,4.3,36.1,13.12
2025-10-01,10.5,88.2,20.52
2025-10-02,6.6,55.9,17.49
2025-10-03,0.1,0.8,2.31
2025-10-04,5.2,44.1,14.58
2025-10-05,10.4,88.9,19.49
2025-10-06,7.2,61.5,17.11
2025-10-07,9,76.9,18.4
2025-10-08,7.1,61.2,17.85
2025-10-09,8.6,74.1,17.7
2025-10-10,10.4,89.7,18.67
2025-10-11,8,69.6,17.16
2025-10-12,10.7,93,18.95
2025-10-13,7.7,67.5,15.79
2025-10-14,5.3,46.5,12.95
2025-10-15,5.2,45.6,13.54
2025-10-16,1.8,15.9,9.32
2025-10-17,0.9,8,7.99
2025-10-18,1.1,9.7,8.77
2025-10-19,1.3,11.5,9.17
2025-10-20,7.3,65.2,15.61
2025-10-21,0.7,6.3,8.32
2025-10-22,9.7,86.6,16.65
2025-10-23,8.3,74.8,15.46
2025-10-24,9.9,89.2,17.56
2025-10-25,8.8,79.3,16.29
2025-10-26,5.5,50,13.31
2025-10-27,10,90.9,17.56
2025-10-28,10,90.9,18.01
2025-10-29,10,91.7,17.04
2025-10-30,5.4,49.5,11.64
2025-10-31,5,45.9,10.9
2025-11-01,9.4,87,15.92
2025-11-02,8.1,75,14.87
2025-11-03,9.3,86.1,16.28
2025-11-04,1.6,14.8,8.6
2025-11-05,9.6,89.7,15.53
2025-11-06,9.3,86.9,15.64
2025-11-07,7.2,67.3,12.77
2025-11-08,0,0,1.87
2025-11-09,7,66,14.08
2025-11-10,9.7,91.5,15.71
2025-11-11,7.3,68.9,13.37
2025-11-12,0.1,1,3.99
2025-11-13,5.8,55.2,11.73
2025-11-14,9.6,91.4,15
2025-11-15,9.5,90.5,14.78
2025-11-16,9.5,91.3,14.09
2025-11-17,1.4,13.5,5.38
2025-11-18,5.2,50,11.24
2025-11-19,5.7,54.8,11.83
2025-11-20,8.8,85.4,13.77
2025-11-21,9.4,91.3,13.75
2025-11-22,7,68,11.84
2025-11-23,9.5,92.2,14.01
2025-11-24,5,48.5,9.63
2025-11-25,8.1,79.4,12.88
2025-11-26,6.9,67.6,11.26
2025-11-27,5.6,54.9,9.14
2025-11-28,8.6,84.3,12.57
2025-11-29,5.5,53.9,10.25
2025-11-30,6.2,61.4,11.51
2025-12-01,7.6,75.2,10.81
2025-12-02,6.8,67.3,11.11
2025-12-03,5.1,50.5,9.54
2025-12-04,2.2,21.8,6.58
2025-12-05,7,69.3,11.82
2025-12-06,7.2,71.3,11.4
2025-12-07,8.8,88,11.78
2025-12-08,9,90,12.25
2025-12-09,8.2,82,12.65
2025-12-10,7.4,74,11.51
2025-12-11,7.8,78,11.53
2025-12-12,9.3,93,12.51
2025-12-13,0.5,5,4.3
2025-12-14,1.7,17,5.46
2025-12-15,7.5,75,11.33
2025-12-16,6.8,68,10.14
2025-12-17,8.4,84,11.64
2025-12-18,8.4,84,12.21
2025-12-19,3.9,39,7.52
2025-12-20,2.5,25,7.3
2025-12-21,4.7,47,7.78
2025-12-22,9.2,92,12.64
2025-12-23,2,20,6.21
2025-12-24,1,10,6.03
2025-12-25,5.6,56,10.84
2025-12-26,5.5,55,9.45
2025-12-27,1.6,16,4.6
2025-12-28,7,70,11.17
2025-12-29,4.7,47,7.95
2025-12-30,8.1,81,11.54
2025-12-31,8.5,85,11.99
